iteration,duration_ms,status
1,58.996,200
2,53.587,200
3,52.745,200
4,53.263,200
5,53.141,200
6,52.995,200
7,53.606,200
8,52.977,200
9,53.557,200
10,53.640,200
11,52.894,200
12,52.897,200
13,52.843,200
14,52.807,200
15,53.477,200
16,53.560,200
17,52.933,200
18,52.802,200
19,52.807,200
20,53.649,200
21,53.046,200
22,52.861,200
23,52.747,200
24,53.273,200
25,52.820,200
26,53.345,200
27,52.861,200
28,53.451,200
29,53.223,200
30,52.970,200
31,52.918,200
32,53.459,200
33,53.859,200
34,52.907,200
35,52.935,200
36,52.861,200
37,53.002,200
38,52.830,200
39,52.892,200
40,52.901,200
41,52.814,200
42,53.375,200
43,52.801,200
44,52.915,200
45,52.897,200
46,53.407,200
47,52.835,200
48,52.846,200
49,52.866,200
50,53.232,200
51,53.003,200
52,53.039,200
53,52.953,200
54,52.954,200
55,52.914,200
56,52.848,200
57,52.900,200
58,52.619,200
59,52.864,200
60,52.983,200
61,52.944,200
62,52.828,200
63,52.853,200
64,53.649,200
65,54.043,200
66,52.785,200
67,53.232,200
68,53.653,200
69,53.553,200
70,52.914,200
71,52.734,200
72,52.802,200
73,52.904,200
74,53.503,200
75,52.898,200
76,52.923,200
77,53.494,200
78,52.998,200
79,52.857,200
80,52.741,200
81,53.373,200
82,53.427,200
83,52.943,200
84,52.818,200
85,53.303,200
86,52.945,200
87,52.883,200
88,53.081,200
89,52.979,200
90,53.529,200
91,53.592,200
92,52.789,200
93,52.827,200
94,52.971,200
95,53.533,200
96,52.987,200
97,53.784,200
98,53.442,200
99,52.905,200
100,52.954,200
